bioguide,name,birthday,chamber,start,end,state,seat
C000418,Abraham Clark,1726-02-15,rep,1793-12-02,1795-03-03,NJ,-1
C000545,David Cobb,1748-09-14,rep,1793-12-02,1795-03-03,MA,-1
C000591,Peleg Coffin,1756-11-03,rep,1793-12-02,1795-03-03,MA,3
D000157,William Dawson,,rep,1793-12-02,1795-03-03,NC,8
E000060,Benjamin Edwards,1753-08-12,rep,1793-12-02,1795-03-03,MD,3
F000178,Thomas Fitzsimons,,rep,1789-03-04,1791-03-03,PA,-1
F000178,Thomas Fitzsimons,,rep,1791-10-24,1793-03-03,PA,1
F000178,Thomas Fitzsimons,,rep,1793-12-02,1795-03-03,PA,-1
F000282,Uriah Forrest,,rep,1793-12-02,1795-03-03,MD,3
F000368,Frederick Frelinghuysen,1753-04-13,sen,1793-12-02,1797-03-03,NJ,2
G000211,Alexander Gillon,,rep,1793-12-02,1795-03-03,SC,5
G000311,James Gordon,1739-10-31,rep,1791-10-24,1793-03-03,NY,6
G000311,James Gordon,1739-10-31,rep,1793-12-02,1795-03-03,NY,9
G000466,Samuel Griffin,,rep,1789-03-04,1791-03-03,VA,10
G000466,Samuel Griffin,,rep,1791-10-24,1793-03-03,VA,10
G000466,Samuel Griffin,,rep,1793-12-02,1795-03-03,VA,13
H000750,Samuel Holten,1738-06-09,rep,1793-12-02,1795-03-03,MA,1
I000035,William Irvine,1741-11-03,rep,1793-12-02,1795-03-03,PA,-1
L000178,Amasa Learned,1750-11-15,rep,1791-10-24,1793-03-03,CT,-1
L000178,Amasa Learned,1750-11-15,rep,1793-12-02,1795-03-03,CT,-1
L000200,Richard Lee,1761-01-20,rep,1789-03-04,1791-03-03,VA,4
L000200,Richard Lee,1761-01-20,rep,1791-10-24,1793-03-03,VA,4
L000200,Richard Lee,1761-01-20,rep,1793-12-02,1795-03-03,VA,17
M000166,Alexander Martin,,sen,1793-12-02,1799-03-03,NC,2
M000424,Joseph McDowell,1758-02-25,rep,1793-12-02,1795-03-03,NC,1
M000622,Alexander Mebane,1744-11-26,rep,1793-12-02,1795-03-03,NC,4
M000645,John Mercer,1759-05-17,rep,1791-10-24,1793-03-03,MD,3
M000645,John Mercer,1759-05-17,rep,1793-12-02,1795-03-03,MD,2
M000828,Stephen Mitchell,1743-12-09,sen,1793-12-02,1795-03-03,CT,3
M000873,William Montgomery,1736-08-03,rep,1793-12-02,1795-03-03,PA,-1
N000055,Joseph Neville,,rep,1793-12-02,1795-03-03,VA,3
N000109,Nathaniel Niles,1741-04-03,rep,1791-10-24,1793-03-03,VT,2
N000109,Nathaniel Niles,1741-04-03,rep,1793-12-02,1795-03-03,VT,2
P000320,Andrew Pickens,1739-09-13,rep,1793-12-02,1795-03-03,SC,6
S000186,Thomas Scott,,rep,1789-03-04,1791-03-03,PA,-1
S000186,Thomas Scott,,rep,1793-12-02,1795-03-03,PA,-1
S001009,Caleb Strong,1745-01-09,sen,1789-03-04,1793-03-03,MA,2
S001009,Caleb Strong,1745-01-09,sen,1793-12-02,1797-03-03,MA,2
T000019,Silas Talbot,1751-01-11,rep,1793-12-02,1795-03-03,NY,10
T000361,Thomas Tredwell,1743-02-06,rep,1791-10-24,1793-03-03,NY,1
T000361,Thomas Tredwell,1743-02-06,rep,1793-12-02,1795-03-03,NY,2
V000039,Peter Van Gaasbeck,1754-09-27,rep,1793-12-02,1795-03-03,NY,4
V000104,John Vining,1758-12-23,rep,1789-03-04,1791-03-03,DE,0
V000104,John Vining,1758-12-23,rep,1791-10-24,1793-03-03,DE,0
V000104,John Vining,1758-12-23,sen,1793-12-02,1799-03-03,DE,2
W000013,Jeremiah Wadsworth,1743-07-12,rep,1789-03-04,1791-03-03,CT,-1
W000013,Jeremiah Wadsworth,1743-07-12,rep,1791-10-24,1793-03-03,CT,-1
W000013,Jeremiah Wadsworth,1743-07-12,rep,1793-12-02,1795-03-03,CT,-1
W000051,Francis Walker,1764-06-22,rep,1793-12-02,1795-03-03,VA,14
W000127,Artemas Ward,1727-11-26,rep,1791-10-24,1793-03-03,MA,7
W000127,Artemas Ward,1727-11-26,rep,1793-12-02,1795-03-03,MA,2
W000211,John Watts,1749-08-27,rep,1793-12-02,1795-03-03,NY,1
W000491,Benjamin Williams,1751-01-01,rep,1793-12-02,1795-03-03,NC,10
W000633,Paine Wingate,1739-05-14,sen,1789-03-04,1793-03-03,NH,2
W000633,Paine Wingate,1739-05-14,rep,1793-12-02,1795-03-03,NH,-1
T000107,Henry Tazewell,1753-11-27,sen,1794-01-01,1799-03-03,VA,2
W000114,George Walton,,sen,1795-11-16,1796-02-20,GA,2
A000174,Fisher Ames,1758-04-09,rep,1789-03-04,1791-03-03,MA,1
A000174,Fisher Ames,1758-04-09,rep,1791-10-24,1793-03-03,MA,1
A000174,Fisher Ames,1758-04-09,rep,1793-12-02,1795-03-03,MA,1
A000174,Fisher Ames,1758-04-09,rep,1795-12-07,1797-03-03,MA,8
B000474,William Bingham,1752-03-08,sen,1795-12-07,1801-03-03,PA,3
B000563,Timothy Bloodworth,,rep,1789-03-04,1791-03-03,NC,3
B000563,Timothy Bloodworth,,sen,1795-12-07,1801-03-03,NC,3
B000669,Benjamin Bourne,1755-09-09,rep,1789-03-04,1791-03-03,RI,1
B000669,Benjamin Bourne,1755-09-09,rep,1791-10-24,1793-03-03,RI,1
B000669,Benjamin Bourne,1755-09-09,rep,1793-12-02,1795-03-03,RI,-1
B000669,Benjamin Bourne,1755-09-09,rep,1795-12-07,1797-03-03,RI,-1
B001014,Daniel Buck,1753-11-09,rep,1795-12-07,1797-03-03,VT,2
C000624,Isaac Coles,1747-03-02,rep,1789-03-04,1791-03-03,VA,6
C000624,Isaac Coles,1747-03-02,rep,1793-12-02,1795-03-03,VA,6
C000624,Isaac Coles,1747-03-02,rep,1795-12-07,1797-03-03,VA,6
C000848,Jeremiah Crabb,,rep,1795-12-07,1797-03-03,MD,3
D000178,Henry Dearborn,1751-02-23,rep,1793-12-02,1795-03-03,MA,4
D000178,Henry Dearborn,1751-02-23,rep,1795-12-07,1797-03-03,MA,12
D000578,Gabriel Duvall,1752-12-06,rep,1793-12-02,1795-03-03,MD,2
D000578,Gabriel Duvall,1752-12-06,rep,1795-12-07,1797-03-03,MD,2
E000010,Samuel Earle,1760-11-28,rep,1795-12-07,1797-03-03,SC,6
G000173,Ezekiel Gilbert,1756-03-25,rep,1793-12-02,1795-03-03,NY,6
G000173,Ezekiel Gilbert,1756-03-25,rep,1795-12-07,1797-03-03,NY,6
G000434,Christopher Greenup,,rep,1791-10-24,1793-03-03,KY,1
G000434,Christopher Greenup,,rep,1793-12-02,1795-03-03,KY,1
G000434,Christopher Greenup,,rep,1795-12-07,1797-03-03,KY,1
G000526,James Gunn,1753-03-13,sen,1789-03-04,1795-03-03,GA,3
G000526,James Gunn,1753-03-13,sen,1795-12-07,1801-03-03,GA,3
H000148,George Hancock,1754-06-13,rep,1793-12-02,1795-03-03,VA,5
H000148,George Hancock,1754-06-13,rep,1795-12-07,1797-03-03,VA,5
H000348,John Hathorn,1749-01-09,rep,1789-03-04,1791-03-03,NY,4
H000348,John Hathorn,1749-01-09,rep,1795-12-07,1797-03-03,NY,4
H000431,John Heath,1758-05-08,rep,1793-12-02,1795-03-03,VA,19
H000431,John Heath,1758-05-08,rep,1795-12-07,1797-03-03,VA,19
H000488,Thomas Henderson,1743-08-15,rep,1795-12-07,1797-03-03,NJ,-1
H000508,John Henry,,sen,1789-03-04,1795-03-03,MD,3
H000508,John Henry,,sen,1795-12-07,1797-12-31,MD,3
L000067,John Langdon,1741-06-26,sen,1789-03-04,1795-03-03,NH,3
L000067,John Langdon,1741-06-26,sen,1795-12-07,1801-03-03,NH,3
L000246,George Leonard,1729-07-04,rep,1789-03-04,1791-03-03,MA,7
L000246,George Leonard,1729-07-04,rep,1791-10-24,1793-03-03,MA,6
L000246,George Leonard,1729-07-04,rep,1795-12-07,1797-03-03,MA,7
L000530,William Lyman,1755-12-07,rep,1793-12-02,1795-03-03,MA,2
L000530,William Lyman,1755-12-07,rep,1795-12-07,1797-03-03,MA,2
M000155,Humphrey Marshall,,sen,1795-12-07,1801-03-03,KY,3
M001063,Frederick Muhlenberg,1750-01-01,rep,1789-03-04,1791-03-03,PA,-1
M001063,Frederick Muhlenberg,1750-01-01,rep,1791-10-24,1793-03-03,PA,2
M001063,Frederick Muhlenberg,1750-01-01,rep,1793-12-02,1795-03-03,PA,-1
M001063,Frederick Muhlenberg,1750-01-01,rep,1795-12-07,1797-03-03,PA,2
M001119,William Murray,1760-02-09,rep,1791-10-24,1793-03-03,MD,5
M001119,William Murray,1760-02-09,rep,1793-12-02,1795-03-03,MD,8
M001119,William Murray,1760-02-09,rep,1795-12-07,1797-03-03,MD,8
O000101,Alexander Orr,1761-11-06,rep,1791-10-24,1793-03-03,KY,2
O000101,Alexander Orr,1761-11-06,rep,1793-12-02,1795-03-03,KY,2
O000101,Alexander Orr,1761-11-06,rep,1795-12-07,1797-03-03,KY,2
P000018,John Page,1743-04-17,rep,1789-03-04,1791-03-03,VA,7
P000018,John Page,1743-04-17,rep,1791-10-24,1793-03-03,VA,7
P000018,John Page,1743-04-17,rep,1793-12-02,1795-03-03,VA,12
P000018,John Page,1743-04-17,rep,1795-12-07,1797-03-03,VA,12
P000026,Elijah Paine,1757-01-21,sen,1795-12-07,1801-03-03,VT,3
P000108,John Patten,1746-04-26,rep,1793-12-02,1795-03-03,DE,0
P000108,John Patten,1746-04-26,rep,1795-12-07,1797-03-03,DE,0
P000514,Francis Preston,1765-08-02,rep,1793-12-02,1795-03-03,VA,4
P000514,Francis Preston,1765-08-02,rep,1795-12-07,1797-03-03,VA,4
R000092,Jacob Read,,sen,1795-12-07,1801-03-03,SC,3
R000215,John Richards,1753-04-18,rep,1795-12-07,1797-03-03,PA,4
R000548,Robert Rutherford,1728-10-20,rep,1793-12-02,1795-03-03,VA,1
R000548,Robert Rutherford,1728-10-20,rep,1795-12-07,1797-03-03,VA,1
S000339,John Sherburne,,rep,1793-12-02,1795-03-03,NH,-1
S000339,John Sherburne,,rep,1795-12-07,1797-03-03,NH,-1
S000555,Isaac Smith,,rep,1795-12-07,1797-03-03,NJ,-1
S000753,Thomas Sprigg,,rep,1793-12-02,1795-03-03,MD,4
S000753,Thomas Sprigg,,rep,1795-12-07,1797-03-03,MD,4
S001029,William Strudwick,,rep,1795-12-07,1797-03-03,NC,4
S001119,Zephaniah Swift,1759-02-27,rep,1793-12-02,1795-03-03,CT,-1
S001119,Zephaniah Swift,1759-02-27,rep,1795-12-07,1797-03-03,CT,-1
T000050,Absalom Tatom,,rep,1795-12-07,1797-03-03,NC,4
T000389,Jonathan Trumbull,1740-03-26,rep,1789-03-04,1791-03-03,CT,-1
T000389,Jonathan Trumbull,1740-03-26,rep,1791-10-24,1793-03-03,CT,-1
T000389,Jonathan Trumbull,1740-03-26,rep,1793-12-02,1795-03-03,CT,-1
T000389,Jonathan Trumbull,1740-03-26,sen,1795-12-07,1797-03-03,CT,3
W000377,James White,1749-06-16,rep,1793-12-02,1795-03-03,TN,-1
W000377,James White,1749-06-16,rep,1795-12-07,1797-03-03,TN,-1
B000570,William Blount,1749-03-26,sen,1796-01-01,1797-12-31,TN,2
G000286,Benjamin Goodhue,1748-09-20,rep,1789-03-04,1791-03-03,MA,2
G000286,Benjamin Goodhue,1748-09-20,rep,1791-10-24,1793-03-03,MA,2
G000286,Benjamin Goodhue,1748-09-20,rep,1793-12-02,1795-03-03,MA,1
G000286,Benjamin Goodhue,1748-09-20,rep,1795-06-08,1796-06-11,MA,1
G000286,Benjamin Goodhue,1748-09-20,sen,1796-06-11,1797-03-03,MA,1
G000286,Benjamin Goodhue,1748-09-20,sen,1797-03-04,1800-11-08,MA,1
H000841,John Howard,1752-06-04,sen,1796-12-05,1797-03-04,MD,1
H000841,John Howard,1752-06-04,sen,1797-03-04,1803-03-03,MD,1
H000982,John Hunter,,rep,1793-12-02,1795-03-03,SC,2
H000982,John Hunter,,sen,1796-01-01,1799-03-03,SC,2
L000120,John Laurance,,rep,1789-03-04,1791-03-03,NY,2
L000120,John Laurance,,rep,1791-10-24,1793-03-03,NY,2
L000120,John Laurance,,sen,1796-01-01,1801-03-03,NY,3
T000052,Josiah Tattnall,,sen,1796-01-01,1799-03-03,GA,2
A000129,John Allen,1763-06-12,rep,1797-05-15,1799-03-03,CT,-1
B000396,Lemuel Benton,,rep,1793-12-02,1795-03-03,SC,3
B000396,Lemuel Benton,,rep,1795-12-07,1797-03-03,SC,3
B000396,Lemuel Benton,,rep,1797-05-15,1799-03-03,SC,3
B000735,Theophilus Bradbury,1739-11-13,rep,1795-12-07,1797-03-03,MA,11
B000735,Theophilus Bradbury,1739-11-13,rep,1797-05-15,1799-03-03,MA,11
B000875,David Brooks,,rep,1797-05-15,1799-03-03,NY,5
B000991,Nathan Bryan,,rep,1795-12-07,1797-03-03,NC,10
B000991,Nathan Bryan,,rep,1797-05-15,1799-03-03,NC,10
B001053,Stephen Bullock,1735-10-10,rep,1797-05-15,1799-03-03,MA,7
B001081,Dempsey Burges,,rep,1795-12-07,1797-03-03,NC,8
B001081,Dempsey Burges,,rep,1797-05-15,1799-03-03,NC,8
C000313,John Chapman,1740-10-18,rep,1797-05-15,1799-03-03,PA,4
C000369,Nathaniel Chipman,1752-11-15,sen,1797-05-15,1803-03-03,VT,1
C000563,James Cochran,1769-02-11,rep,1797-05-15,1799-03-03,NY,10
C000600,Joshua Coit,1758-10-07,rep,1793-12-02,1795-03-03,CT,-1
C000600,Joshua Coit,1758-10-07,rep,1795-12-07,1797-03-03,CT,-1
C000600,Joshua Coit,1758-10-07,rep,1797-05-15,1799-03-03,CT,-1
D000073,James Davenport,1758-10-12,rep,1795-12-07,1797-03-03,CT,-1
D000073,James Davenport,1758-10-12,rep,1797-05-15,1799-03-03,CT,-1
E000089,George Ege,1748-03-09,rep,1795-12-07,1797-03-03,PA,5
E000089,George Ege,1748-03-09,rep,1797-05-15,1799-03-03,PA,5
F000313,Theodore Foster,1752-04-29,sen,1790-06-12,1791-03-03,RI,1
F000313,Theodore Foster,1752-04-29,sen,1791-03-04,1797-03-03,RI,1
F000313,Theodore Foster,1752-04-29,sen,1797-05-15,1803-03-03,RI,1
F000365,Nathaniel Freeman,1766-05-01,rep,1795-12-07,1797-03-03,MA,5
F000365,Nathaniel Freeman,1766-05-01,rep,1797-05-15,1799-03-03,MA,5
H000266,Carter Harrison,,rep,1793-12-02,1795-03-03,VA,10
H000266,Carter Harrison,,rep,1795-12-07,1797-03-03,VA,10
H000266,Carter Harrison,,rep,1797-05-15,1799-03-03,VA,10
H000803,Hezekiah Hosmer,1765-06-07,rep,1797-05-15,1799-03-03,NY,6
L000115,Henry Latimer,1752-04-24,rep,1793-12-02,1795-03-03,DE,0
L000115,Henry Latimer,1752-04-24,sen,1795-12-07,1797-03-03,DE,1
L000115,Henry Latimer,1752-04-24,sen,1797-05-15,1801-12-31,DE,1
L000377,James Lloyd,,sen,1797-05-15,1801-03-03,MD,3
L000389,Matthew Locke,,rep,1793-12-02,1795-03-03,NC,2
L000389,Matthew Locke,,rep,1795-12-07,1797-03-03,NC,2
L000389,Matthew Locke,,rep,1797-05-15,1799-03-03,NC,2
M000013,James Machir,,rep,1797-05-15,1799-03-03,VA,3
M000226,Stevens Mason,1760-12-29,sen,1794-01-01,1797-03-03,VA,1
M000226,Stevens Mason,1760-12-29,sen,1797-05-15,1803-03-03,VA,1
M000256,William Matthews,1755-04-26,rep,1797-05-15,1799-03-03,MD,6
M000336,Blair McClenachan,,rep,1797-05-15,1799-03-03,PA,2
M000423,Joseph McDowell,1756-02-15,rep,1797-05-15,1799-03-03,NC,1
M000946,Daniel Morgan,,rep,1797-05-15,1799-03-03,VA,1
P000058,Isaac Parker,1768-06-17,rep,1797-05-15,1799-03-03,MA,12
R000448,James Ross,1762-07-12,sen,1794-01-01,1797-03-03,PA,1
R000448,James Ross,1762-07-12,sen,1797-05-15,1803-03-03,PA,1
R000550,John Rutherfurd,1760-09-20,sen,1791-10-24,1797-03-03,NJ,1
R000550,John Rutherfurd,1760-09-20,sen,1797-05-15,1799-03-03,NJ,1
S000154,Philip Schuyler,1733-11-20,sen,1789-03-04,1791-03-03,NY,1
S000154,Philip Schuyler,1733-11-20,sen,1797-05-15,1799-03-03,NY,1
S000448,Thomas Sinnickson,1744-12-21,rep,1789-03-04,1791-03-03,NJ,-1
S000448,Thomas Sinnickson,1744-12-21,rep,1797-05-15,1799-03-03,NJ,-1
S000460,Samuel Sitgreaves,1764-03-16,rep,1795-12-07,1797-03-03,PA,4
S000460,Samuel Sitgreaves,1764-03-16,rep,1797-05-15,1799-03-03,PA,4
S000563,Jeremiah Smith,1759-11-29,rep,1791-10-24,1793-03-03,NH,-1
S000563,Jeremiah Smith,1759-11-29,rep,1793-12-02,1795-03-03,NH,-1
S000563,Jeremiah Smith,1759-11-29,rep,1795-12-07,1797-03-03,NH,-1
S000563,Jeremiah Smith,1759-11-29,rep,1797-05-15,1799-03-03,NH,-1
S000595,Nathaniel Smith,1762-01-06,rep,1795-12-07,1797-03-03,CT,-1
S000595,Nathaniel Smith,1762-01-06,rep,1797-05-15,1799-03-03,CT,-1
S000625,William Smith,1751-09-20,rep,1797-05-15,1799-03-03,SC,6
S000633,William Smith,,rep,1789-03-04,1791-03-03,SC,1
S000633,William Smith,,rep,1791-10-24,1793-03-03,SC,1
S000633,William Smith,,rep,1793-12-02,1795-03-03,SC,1
S000633,William Smith,,rep,1795-12-07,1797-03-03,SC,1
S000633,William Smith,,rep,1797-05-15,1799-03-03,SC,1
S000743,Peleg Sprague,1756-12-10,rep,1797-05-15,1799-03-03,NH,-1
S001095,John Swanwick,,rep,1795-12-07,1797-03-03,PA,1
S001095,John Swanwick,,rep,1797-05-15,1799-03-03,PA,1
T000232,Mark Thomson,,rep,1795-12-07,1797-03-03,NJ,-1
T000232,Mark Thomson,,rep,1797-05-15,1799-03-03,NJ,-1
V000012,John Van Alen,,rep,1793-12-02,1795-03-03,NY,7
V000012,John Van Alen,,rep,1795-12-07,1797-03-03,NY,7
V000012,John Van Alen,,rep,1797-05-15,1799-03-03,NY,7
W000513,John Williams,,rep,1795-12-07,1797-03-03,NY,9
W000513,John Williams,,rep,1797-05-15,1799-03-03,NY,9
C000497,Joshua Clayton,1744-07-20,sen,1798-01-01,1799-03-03,DE,2
H000661,John Hobart,1738-05-06,sen,1798-01-01,1799-03-03,NY,1
N000142,William North,,sen,1798-01-01,1799-03-03,NY,1
W000202,James Watson,1750-04-06,sen,1798-01-01,1801-03-03,NY,1
B000198,Bailey Bartlett,1750-01-29,rep,1797-05-15,1799-03-03,MA,11
B000198,Bailey Bartlett,1750-01-29,rep,1799-12-02,1801-03-03,MA,11
B000731,Jonathan Brace,1754-11-12,rep,1797-05-15,1799-03-03,CT,-1
B000731,Jonathan Brace,1754-11-12,rep,1799-12-02,1801-03-03,CT,-1
B000927,John Brown,1736-01-27,rep,1799-12-02,1801-03-03,RI,-1
B000929,John Brown,1757-09-12,rep,1789-03-04,1791-03-03,VA,-1
B000929,John Brown,1757-09-12,rep,1791-03-04,1792-06-01,VA,-1
B000929,John Brown,1757-09-12,sen,1792-06-18,1793-03-03,KY,2
B000929,John Brown,1757-09-12,sen,1793-03-04,1799-03-03,KY,2
B000929,John Brown,1757-09-12,sen,1799-12-02,1805-03-03,KY,2
C000382,Gabriel Christie,1775-09-12,rep,1793-12-02,1795-03-03,MD,6
C000382,Gabriel Christie,1775-09-12,rep,1795-12-07,1797-03-03,MD,6
C000382,Gabriel Christie,1775-09-12,rep,1799-12-02,1801-03-03,MD,6
C000572,William Cocke,,sen,1796-01-01,1797-03-03,TN,1
C000572,William Cocke,,sen,1799-12-02,1805-03-03,TN,2
C000764,William Cooper,1754-12-02,rep,1795-12-07,1797-03-03,NY,10
C000764,William Cooper,1754-12-02,rep,1799-12-02,1801-03-03,NY,10
C000863,William Craik,1761-10-31,rep,1795-12-07,1797-03-03,MD,3
C000863,William Craik,1761-10-31,rep,1797-05-15,1799-03-03,MD,3
C000863,William Craik,1761-10-31,rep,1799-12-02,1801-03-03,MD,3
D000069,Franklin Davenport,,sen,1798-12-05,1799-03-03,NJ,1
D000069,Franklin Davenport,,rep,1799-12-02,1801-03-03,NJ,5
D000165,Jonathan Dayton,1760-10-16,rep,1791-10-24,1793-03-03,NJ,-1
D000165,Jonathan Dayton,1760-10-16,rep,1793-12-02,1795-03-03,NJ,-1
D000165,Jonathan Dayton,1760-10-16,rep,1795-12-07,1797-03-03,NJ,-1
D000165,Jonathan Dayton,1760-10-16,rep,1797-05-15,1799-03-03,NJ,-1
D000165,Jonathan Dayton,1760-10-16,sen,1799-12-02,1805-03-03,NJ,2
D000254,George Dent,,rep,1793-12-02,1795-03-03,MD,1
D000254,George Dent,,rep,1795-12-07,1797-03-03,MD,1
D000254,George Dent,,rep,1797-05-15,1799-03-03,MD,1
D000254,George Dent,,rep,1799-12-02,1801-03-03,MD,1
D000296,Samuel Dexter,1761-05-14,rep,1793-12-02,1795-03-03,MA,1
